Player,Nation,Pos,Squad,Age,Min,Gls,Ast
Aleksandar Mitrovic,SRB,FW,Fulham,24,"3,050",23,1
Ollie Watkins,ENG,FW,Brentford,23,"3,320",22,2
Lewis Grabban,ENG,FW,Nott'ham Forest,31,"3,109",17,2
Jarrod Bowen,ENG,"MF,FW",Hull City,22,"2,610",16,6
Karlan Grant,ENG,"FW,MF",Huddersfield,21,"3,005",16,4
Bryan Mbeumo,FRA,FW,Brentford,19,"2,404",14,6
Cauley Woodrow,ENG,"FW,MF",Barnsley,24,"2,708",14,2
Patrick Bamford,ENG,FW,Leeds United,25,"2,822",13,2
Steven Fletcher,SCO,FW,Sheffield Weds,32,"2,020",13,2
Lukas Jutkiewicz,ENG,FW,Birmingham City,30,"3,111",13,3
Nahki Wells,BER,FW,QPR,29,"1,617",13,3
André Ayew,GHA,"MF,FW",Swansea City,29,"3,107",12,5
Eberechi Eze,ENG,MF,QPR,21,"3,273",12,8
Martyn Waghorn,ENG,"MF,FW",Derby County,29,"2,774",12,2
Adam Armstrong,ENG,"MF,FW",Blackburn,22,"2,897",11,6
James Collins,IRL,FW,Luton Town,28,"3,258",11,3
Jordan Hugill,ENG,FW,QPR,27,"2,528",11,1
Daniel Johnson,JAM,MF,Preston,26,"2,221",11,5
Lyle Taylor,MSR,FW,Charlton Ath,29,"1,603",11,1
Saïd Benrahma,ALG,FW,Brentford,23,"2,764",10,7
